
> chathistory@0.1.0 dev
> PORT=3002 next dev --turbopack

   ▲ Next.js 15.1.2 (Turbopack)
   - Local:        http://localhost:3002
   - Network:      http://51.38.123.53:3002

 ✓ Starting...
 ✓ Ready in 855ms
 ○ Compiling / ...
 ✓ Compiled / in 2.6s
 GET / 200 in 2959ms
 GET / 200 in 46ms
 ✓ Compiled /api/twitch/badges/global in 432ms
 GET /api/twitch/badges/global 200 in 757ms
 GET /api/twitch/badges/global 200 in 767ms
 GET /api/twitch/badges/global 200 in 761ms
 GET /api/twitch/badges/global 200 in 848ms
 GET /api/twitch/badges/global 200 in 847ms
 GET /api/twitch/badges/global 200 in 764ms
 GET /api/twitch/badges/global 200 in 768ms
 GET /api/twitch/badges/global 200 in 908ms
 GET /api/twitch/badges/global 200 in 876ms
 GET /api/twitch/badges/global 200 in 846ms
 GET /api/twitch/badges/global 200 in 761ms
 GET /api/twitch/badges/global 200 in 859ms
 GET /api/twitch/badges/global 200 in 842ms
 GET /api/twitch/badges/global 200 in 848ms
 GET /api/twitch/badges/global 200 in 871ms
 GET /api/twitch/badges/global 200 in 862ms
 GET /api/twitch/badges/global 200 in 837ms
 GET /api/twitch/badges/global 200 in 842ms
 GET /api/twitch/badges/global 200 in 695ms
 GET /api/twitch/badges/global 200 in 707ms
 GET /api/twitch/badges/global 200 in 703ms
 GET /api/twitch/badges/global 200 in 707ms
 GET /api/twitch/badges/global 200 in 701ms
 GET /api/twitch/badges/global 200 in 709ms
 GET /api/twitch/badges/global 200 in 741ms
 GET /api/twitch/badges/global 200 in 719ms
 GET /api/twitch/badges/global 200 in 729ms
 GET /api/twitch/badges/global 200 in 727ms
 GET /api/twitch/badges/global 200 in 731ms
 GET /api/twitch/badges/global 200 in 735ms
 GET /api/twitch/badges/global 200 in 739ms
 GET /api/twitch/badges/global 200 in 745ms
 GET /api/twitch/badges/global 200 in 735ms
 GET /api/twitch/badges/global 200 in 733ms
 GET /api/twitch/badges/global 200 in 747ms
 GET /api/twitch/badges/global 200 in 742ms
 GET /api/twitch/badges/global 200 in 752ms
 GET /api/twitch/badges/global 200 in 740ms
 GET /api/twitch/badges/global 200 in 741ms
 GET /api/twitch/badges/global 200 in 737ms
 GET /api/twitch/badges/global 200 in 743ms
 GET /api/twitch/badges/global 200 in 733ms
 GET /api/twitch/badges/global 200 in 744ms
 GET /api/twitch/badges/global 200 in 736ms
 GET /api/twitch/badges/global 200 in 724ms
 GET /api/twitch/badges/global 200 in 730ms
 GET /api/twitch/badges/global 200 in 730ms
 GET /api/twitch/badges/global 200 in 724ms
 GET /api/twitch/badges/global 200 in 716ms
 GET /api/twitch/user/okayyfiona 200 in 3235ms
 GET /api/twitch/user/okayyfiona 200 in 3156ms
 GET /api/twitch/user/okayyfiona 200 in 3297ms
 GET /api/twitch/user/okayyfiona 200 in 3157ms
 GET /api/twitch/user/okayyfiona 200 in 3263ms
 GET /api/twitch/user/okayyfiona 200 in 3076ms
 GET /api/twitch/user/okayyfiona 200 in 3051ms
 GET /api/twitch/user/okayyfiona 200 in 3048ms
 GET /api/twitch/user/okayyfiona 200 in 3036ms
 GET /api/twitch/user/okayyfiona 200 in 3041ms
 GET /api/twitch/user/okayyfiona 200 in 3014ms
 GET /api/twitch/user/okayyfiona 200 in 3008ms
 GET /api/twitch/user/okayyfiona 200 in 2994ms
 GET /api/twitch/user/okayyfiona 200 in 2972ms
 GET /api/twitch/user/okayyfiona 200 in 2947ms
 GET /api/twitch/user/okayyfiona 200 in 2927ms
 GET /api/twitch/user/okayyfiona 200 in 2911ms
 GET /api/twitch/user/pradasocken 200 in 3163ms
 GET /api/twitch/user/pradasocken 200 in 2984ms
 GET /api/twitch/user/peepohappydevin 200 in 3235ms
 GET /api/twitch/user/peepohappydevin 200 in 3238ms
 GET /api/twitch/user/peepohappydevin 200 in 3249ms
 GET /api/twitch/user/peepohappydevin 200 in 3302ms
 GET /api/twitch/user/peepohappydevin 200 in 3241ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3163ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3245ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3304ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3255ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3237ms
 GET /api/twitch/user/rxndxm_person_ 200 in 3160ms
 GET /api/twitch/user/2coyi 200 in 3244ms
 GET /api/twitch/user/2coyi 200 in 3088ms
 GET /api/twitch/user/2coyi 200 in 3051ms
 GET /api/twitch/user/2coyi 200 in 3027ms
 GET /api/twitch/user/2coyi 200 in 3034ms
 GET /api/twitch/user/2coyi 200 in 3041ms
 GET /api/twitch/user/2coyi 200 in 3038ms
 GET /api/twitch/user/2coyi 200 in 3042ms
 GET /api/twitch/user/2coyi 200 in 3041ms
 GET /api/twitch/user/2coyi 200 in 3023ms
 GET /api/twitch/user/2coyi 200 in 3015ms
 GET /api/twitch/user/2coyi 200 in 2999ms
 GET /api/twitch/user/2coyi 200 in 2966ms
 GET /api/twitch/user/2coyi 200 in 2954ms
 GET /api/twitch/user/2coyi 200 in 2937ms
 GET /api/twitch/user/2coyi 200 in 2927ms
 GET /api/twitch/user/2coyi 200 in 2931ms
 GET /api/twitch/user/supibot 200 in 3295ms
 GET /api/twitch/user/stimmungschaos__ 200 in 3268ms
 GET /api/twitch/user/stimmungschaos__ 200 in 3317ms
 GET /api/twitch/user/2ole_ 200 in 3168ms
 GET /api/twitch/badges/global 200 in 226ms
 GET /api/twitch/badges/global 200 in 230ms
 GET /api/twitch/badges/global 200 in 237ms
 GET /api/twitch/badges/global 200 in 239ms
 GET /api/twitch/user/okayyfiona 200 in 260ms
 GET /api/twitch/user/2coyi 200 in 300ms
 GET /api/twitch/user/okayyfiona 200 in 329ms
 GET /api/twitch/badges/global 200 in 373ms
 GET /api/twitch/badges/global 200 in 375ms
 GET /api/twitch/user/stimmungschaos__ 200 in 373ms
 GET /api/twitch/badges/global 200 in 414ms
 GET /api/twitch/user/2coyi 200 in 408ms
 GET /api/twitch/badges/global 200 in 454ms
 GET /api/twitch/badges/global 200 in 459ms
 GET /api/twitch/user/pradasocken 200 in 453ms
 GET /api/twitch/user/okayyfiona 200 in 492ms
 GET /api/twitch/user/2coyi 200 in 527ms
 GET /api/twitch/badges/global 200 in 568ms
 GET /api/twitch/badges/global 200 in 566ms
 GET /api/twitch/badges/global 200 in 574ms
 GET /api/twitch/user/2coyi 200 in 568ms
 GET /api/twitch/badges/global 200 in 605ms
 GET /api/twitch/badges/global 200 in 611ms
 GET /api/twitch/badges/global 200 in 612ms
 GET /api/twitch/badges/global 200 in 612ms
 GET /api/twitch/badges/global 200 in 616ms
 GET /api/twitch/user/pradasocken 200 in 616ms
 GET /api/twitch/badges/global 200 in 661ms
 GET /api/twitch/badges/global 200 in 665ms
 GET /api/twitch/badges/global 200 in 673ms
 GET /api/twitch/user/2coyi 200 in 689ms
 GET /api/twitch/badges/global 200 in 729ms
 GET /api/twitch/user/okayyfiona 200 in 730ms
 GET /api/twitch/user/okayyfiona 200 in 765ms
 GET /api/twitch/user/okayyfiona 200 in 795ms
 GET /api/twitch/badges/global 200 in 834ms
